,Fruit_x,Form,RetailPrice_x,RetailPriceUnit_x,Yield,CupEquivalentSize_x,CupEquivalentUnit_x,CupEquivalentPrice_x,Fruit_y,RetailPrice_y,RetailPriceUnit_y,CupEquivalentSize_y,CupEquivalentUnit_y,CupEquivalentPrice_y
0,0,1,1.8541,0,0.9,0.2425,0,0.4996,20,1.1062,0,0.3527,0,0.4335
1,0,1,1.8541,0,0.9,0.2425,0,0.4996,24,1.8126,0,0.2756,0,0.555
2,1,0,1.1705,0,1.0,0.5401,0,0.6323,19,5.3496,0,0.2976,0,1.5922
3,1,0,1.1705,0,1.0,0.5401,0,0.6323,23,1.8642,0,0.5401,0,1.0069
4,1,0,1.1705,0,1.0,0.5401,0,0.6323,27,1.0715,0,0.5401,0,0.5787
5,2,0,1.8645,0,1.0,0.5401,0,1.0071,19,5.3496,0,0.2976,0,1.5922
6,2,0,1.8645,0,1.0,0.5401,0,1.0071,23,1.8642,0,0.5401,0,1.0069
7,2,0,1.8645,0,1.0,0.5401,0,1.0071,27,1.0715,0,0.5401,0,0.5787
8,3,0,2.2362,0,0.65,0.4409,0,1.5169,0,3.4498,0,0.3858,0,2.0476
9,3,0,2.2362,0,0.65,0.4409,0,1.5169,1,3.4328,0,0.3968,0,2.0958
10,3,0,2.2362,0,0.65,0.4409,0,1.5169,2,1.1431,0,0.3748,0,0.6591
11,3,0,2.2362,0,0.65,0.4409,0,1.5169,3,1.2387,0,0.3858,0,0.7352
12,3,0,2.2362,0,0.65,0.4409,0,1.5169,4,1.3164,0,0.3748,0,0.759
13,3,0,2.2362,0,0.65,0.4409,0,1.5169,5,1.478,0,0.3086,0,0.7018
14,3,0,2.2362,0,0.65,0.4409,0,1.5169,6,1.1979,0,0.3197,0,0.5892
15,3,0,2.2362,0,0.65,0.4409,0,1.5169,7,1.3315,0,0.3638,0,0.7452
16,3,0,2.2362,0,0.65,0.4409,0,1.5169,8,1.1543,0,0.3638,0,0.646
17,3,0,2.2362,0,0.65,0.4409,0,1.5169,9,1.1583,0,0.3858,0,0.6875
18,3,0,2.2362,0,0.65,0.4409,0,1.5169,10,1.1291,0,0.2976,0,0.517
19,3,0,2.2362,0,0.65,0.4409,0,1.5169,11,1.3118,0,0.3527,0,0.7119
20,3,0,2.2362,0,0.65,0.4409,0,1.5169,12,1.1208,0,0.3858,0,0.6652
21,3,0,2.2362,0,0.65,0.4409,0,1.5169,15,1.4785,0,0.3748,0,0.8525
22,3,0,2.2362,0,0.65,0.4409,0,1.5169,16,1.4754,0,0.3392,0,0.7699
23,3,0,2.2362,0,0.65,0.4409,0,1.5169,17,1.3367,0,0.3307,0,0.68
24,3,0,2.2362,0,0.65,0.4409,0,1.5169,18,1.2738,0,0.3858,0,0.7561
25,3,0,2.2362,0,0.65,0.4409,0,1.5169,21,1.1189,0,0.3858,0,0.6641
26,3,0,2.2362,0,0.65,0.4409,0,1.5169,22,1.0266,0,0.3417,0,0.5397
27,3,0,2.2362,0,0.65,0.4409,0,1.5169,25,1.5676,0,0.3748,0,0.9039
28,3,0,2.2362,0,0.65,0.4409,0,1.5169,31,1.3154,0,0.3527,0,0.7138
29,4,1,4.1575,0,0.95,0.3197,0,1.399,13,1.2512,0,0.2425,0,0.3194
30,5,0,5.2418,0,0.65,0.4409,0,3.5558,0,3.4498,0,0.3858,0,2.0476
31,5,0,5.2418,0,0.65,0.4409,0,3.5558,1,3.4328,0,0.3968,0,2.0958
32,5,0,5.2418,0,0.65,0.4409,0,3.5558,2,1.1431,0,0.3748,0,0.6591
33,5,0,5.2418,0,0.65,0.4409,0,3.5558,3,1.2387,0,0.3858,0,0.7352
34,5,0,5.2418,0,0.65,0.4409,0,3.5558,4,1.3164,0,0.3748,0,0.759
35,5,0,5.2418,0,0.65,0.4409,0,3.5558,5,1.478,0,0.3086,0,0.7018
36,5,0,5.2418,0,0.65,0.4409,0,3.5558,6,1.1979,0,0.3197,0,0.5892
37,5,0,5.2418,0,0.65,0.4409,0,3.5558,7,1.3315,0,0.3638,0,0.7452
38,5,0,5.2418,0,0.65,0.4409,0,3.5558,8,1.1543,0,0.3638,0,0.646
39,5,0,5.2418,0,0.65,0.4409,0,3.5558,9,1.1583,0,0.3858,0,0.6875
40,5,0,5.2418,0,0.65,0.4409,0,3.5558,10,1.1291,0,0.2976,0,0.517
41,5,0,5.2418,0,0.65,0.4409,0,3.5558,11,1.3118,0,0.3527,0,0.7119
42,5,0,5.2418,0,0.65,0.4409,0,3.5558,12,1.1208,0,0.3858,0,0.6652
43,5,0,5.2418,0,0.65,0.4409,0,3.5558,15,1.4785,0,0.3748,0,0.8525
44,5,0,5.2418,0,0.65,0.4409,0,3.5558,16,1.4754,0,0.3392,0,0.7699
45,5,0,5.2418,0,0.65,0.4409,0,3.5558,17,1.3367,0,0.3307,0,0.68
46,5,0,5.2418,0,0.65,0.4409,0,3.5558,18,1.2738,0,0.3858,0,0.7561
47,5,0,5.2418,0,0.65,0.4409,0,3.5558,21,1.1189,0,0.3858,0,0.6641
48,5,0,5.2418,0,0.65,0.4409,0,3.5558,22,1.0266,0,0.3417,0,0.5397
49,5,0,5.2418,0,0.65,0.4409,0,3.5558,25,1.5676,0,0.3748,0,0.9039
50,5,0,5.2418,0,0.65,0.4409,0,3.5558,31,1.3154,0,0.3527,0,0.7138
51,6,1,1.5811,0,0.77,0.463,0,0.9507,26,4.1214,0,0.3307,0,1.77
52,7,0,2.394,0,1.0,0.5401,0,1.2931,19,5.3496,0,0.2976,0,1.5922
53,7,0,2.394,0,1.0,0.5401,0,1.2931,23,1.8642,0,0.5401,0,1.0069
54,7,0,2.394,0,1.0,0.5401,0,1.2931,27,1.0715,0,0.5401,0,0.5787
55,8,0,2.0996,0,0.65,0.4409,0,1.4242,0,3.4498,0,0.3858,0,2.0476
56,8,0,2.0996,0,0.65,0.4409,0,1.4242,1,3.4328,0,0.3968,0,2.0958
57,8,0,2.0996,0,0.65,0.4409,0,1.4242,2,1.1431,0,0.3748,0,0.6591
58,8,0,2.0996,0,0.65,0.4409,0,1.4242,3,1.2387,0,0.3858,0,0.7352
59,8,0,2.0996,0,0.65,0.4409,0,1.4242,4,1.3164,0,0.3748,0,0.759
60,8,0,2.0996,0,0.65,0.4409,0,1.4242,5,1.478,0,0.3086,0,0.7018
61,8,0,2.0996,0,0.65,0.4409,0,1.4242,6,1.1979,0,0.3197,0,0.5892
62,8,0,2.0996,0,0.65,0.4409,0,1.4242,7,1.3315,0,0.3638,0,0.7452
63,8,0,2.0996,0,0.65,0.4409,0,1.4242,8,1.1543,0,0.3638,0,0.646
64,8,0,2.0996,0,0.65,0.4409,0,1.4242,9,1.1583,0,0.3858,0,0.6875
65,8,0,2.0996,0,0.65,0.4409,0,1.4242,10,1.1291,0,0.2976,0,0.517
66,8,0,2.0996,0,0.65,0.4409,0,1.4242,11,1.3118,0,0.3527,0,0.7119
67,8,0,2.0996,0,0.65,0.4409,0,1.4242,12,1.1208,0,0.3858,0,0.6652
68,8,0,2.0996,0,0.65,0.4409,0,1.4242,15,1.4785,0,0.3748,0,0.8525
69,8,0,2.0996,0,0.65,0.4409,0,1.4242,16,1.4754,0,0.3392,0,0.7699
70,8,0,2.0996,0,0.65,0.4409,0,1.4242,17,1.3367,0,0.3307,0,0.68
71,8,0,2.0996,0,0.65,0.4409,0,1.4242,18,1.2738,0,0.3858,0,0.7561
72,8,0,2.0996,0,0.65,0.4409,0,1.4242,21,1.1189,0,0.3858,0,0.6641
73,8,0,2.0996,0,0.65,0.4409,0,1.4242,22,1.0266,0,0.3417,0,0.5397
74,8,0,2.0996,0,0.65,0.4409,0,1.4242,25,1.5676,0,0.3748,0,0.9039
75,8,0,2.0996,0,0.65,0.4409,0,1.4242,31,1.3154,0,0.3527,0,0.7138
76,9,1,2.3721,0,0.91,0.3197,0,0.8333,28,3.8729,0,0.3748,0,1.595
77,9,1,2.3721,0,0.91,0.3197,0,0.8333,30,1.2453,0,0.3748,0,0.5129
78,9,1,2.3721,0,0.91,0.3197,0,0.8333,29,2.1868,0,0.3748,0,0.9006
79,10,0,2.2503,0,1.0,0.5401,0,1.2155,19,5.3496,0,0.2976,0,1.5922
80,10,0,2.2503,0,1.0,0.5401,0,1.2155,23,1.8642,0,0.5401,0,1.0069
81,10,0,2.2503,0,1.0,0.5401,0,1.2155,27,1.0715,0,0.5401,0,0.5787
82,11,0,2.0102,0,0.65,0.4409,0,1.3636,0,3.4498,0,0.3858,0,2.0476
83,11,0,2.0102,0,0.65,0.4409,0,1.3636,1,3.4328,0,0.3968,0,2.0958
84,11,0,2.0102,0,0.65,0.4409,0,1.3636,2,1.1431,0,0.3748,0,0.6591
85,11,0,2.0102,0,0.65,0.4409,0,1.3636,3,1.2387,0,0.3858,0,0.7352
86,11,0,2.0102,0,0.65,0.4409,0,1.3636,4,1.3164,0,0.3748,0,0.759
87,11,0,2.0102,0,0.65,0.4409,0,1.3636,5,1.478,0,0.3086,0,0.7018
88,11,0,2.0102,0,0.65,0.4409,0,1.3636,6,1.1979,0,0.3197,0,0.5892
89,11,0,2.0102,0,0.65,0.4409,0,1.3636,7,1.3315,0,0.3638,0,0.7452
90,11,0,2.0102,0,0.65,0.4409,0,1.3636,8,1.1543,0,0.3638,0,0.646
91,11,0,2.0102,0,0.65,0.4409,0,1.3636,9,1.1583,0,0.3858,0,0.6875
92,11,0,2.0102,0,0.65,0.4409,0,1.3636,10,1.1291,0,0.2976,0,0.517
93,11,0,2.0102,0,0.65,0.4409,0,1.3636,11,1.3118,0,0.3527,0,0.7119
94,11,0,2.0102,0,0.65,0.4409,0,1.3636,12,1.1208,0,0.3858,0,0.6652
95,11,0,2.0102,0,0.65,0.4409,0,1.3636,15,1.4785,0,0.3748,0,0.8525
96,11,0,2.0102,0,0.65,0.4409,0,1.3636,16,1.4754,0,0.3392,0,0.7699
97,11,0,2.0102,0,0.65,0.4409,0,1.3636,17,1.3367,0,0.3307,0,0.68
98,11,0,2.0102,0,0.65,0.4409,0,1.3636,18,1.2738,0,0.3858,0,0.7561
99,11,0,2.0102,0,0.65,0.4409,0,1.3636,21,1.1189,0,0.3858,0,0.6641
100,11,0,2.0102,0,0.65,0.4409,0,1.3636,22,1.0266,0,0.3417,0,0.5397
101,11,0,2.0102,0,0.65,0.4409,0,1.3636,25,1.5676,0,0.3748,0,0.9039
102,11,0,2.0102,0,0.65,0.4409,0,1.3636,31,1.3154,0,0.3527,0,0.7138
103,12,1,1.8472,0,0.9,0.3638,0,0.7466,20,1.1062,0,0.3527,0,0.4335
104,12,1,1.8472,0,0.9,0.3638,0,0.7466,24,1.8126,0,0.2756,0,0.555
105,13,0,2.14,0,1.0,0.5401,0,1.1559,19,5.3496,0,0.2976,0,1.5922
106,13,0,2.14,0,1.0,0.5401,0,1.1559,23,1.8642,0,0.5401,0,1.0069
107,13,0,2.14,0,1.0,0.5401,0,1.1559,27,1.0715,0,0.5401,0,0.5787
108,14,0,2.092,0,0.65,0.4409,0,1.4191,0,3.4498,0,0.3858,0,2.0476
109,14,0,2.092,0,0.65,0.4409,0,1.4191,1,3.4328,0,0.3968,0,2.0958
110,14,0,2.092,0,0.65,0.4409,0,1.4191,2,1.1431,0,0.3748,0,0.6591
